rvote	stt	eth	inc	age	sex	edu	mar	kid
0	23	2	3	3	2	2	2	2
1	23	1	NA	3	2	3	1	2
NA	34	1	NA	1	2	3	2	2
0	15	1	1	4	2	1	2	2
0	19	2	3	3	1	2	2	2
1	44	1	4	NA	1	4	1	2
0	24	1	3	1	2	4	2	2
NA	24	1	3	3	1	3	1	1
0	17	1	NA	4	2	2	2	2
0	45	1	4	2	2	3	1	1
NA	31	3	2	2	1	2	1	1
1	20	1	1	3	1	2	2	2
0	33	1	3	2	1	4	2	2
NA	39	1	4	3	2	4	1	2
1	36	1	5	2	1	4	1	1
0	47	1	2	3	1	2	1	1
NA	31	3	2	2	2	2	1	1
1	10	1	3	3	2	3	1	2
0	34	1	3	1	2	4	2	2
1	26	1	2	2	2	3	1	1
1	24	1	4	2	2	4	1	1
0	43	1	3	2	2	2	1	1
1	4	2	1	2	2	2	2	1
1	44	1	5	2	1	5	1	2
1	27	1	2	1	2	2	2	2
1	45	1	3	2	2	5	1	1
1	6	1	2	2	1	1	1	1
0	3	2	1	2	1	1	2	2
NA	5	1	3	2	2	3	1	1
0	5	3	1	1	2	2	2	1
0	5	1	3	2	2	3	2	1
0	34	2	1	3	2	2	2	2
1	10	1	3	4	2	2	1	2
0	33	1	NA	3	1	5	1	2
NA	10	1	4	2	1	4	1	1
1	47	NA	NA	1	1	2	2	2
0	31	1	3	2	2	1	1	1
1	28	1	2	1	1	3	2	2
NA	16	1	2	2	1	3	2	2
1	26	1	3	2	1	5	1	1
NA	44	3	2	2	1	2	1	1
1	38	1	3	1	1	4	1	1
1	29	1	3	3	1	3	1	2
0	36	1	2	1	1	2	1	1
1	39	1	4	2	1	3	1	2
0	23	1	3	2	2	2	1	1
NA	33	1	3	3	1	4	2	2
1	31	1	4	2	2	4	2	2
1	22	1	3	4	1	4	1	2
1	37	1	3	2	1	3	1	2
1	50	1	2	2	1	5	2	2
0	43	2	3	2	2	2	1	1
0	26	1	3	2	1	3	1	2
1	44	1	3	3	1	2	2	2
1	6	1	1	2	1	2	2	2
NA	3	NA	NA	NA	1	2	NA	2
1	33	1	5	3	2	4	1	2
1	34	1	3	4	2	3	1	2
0	23	1	NA	4	2	2	2	2
1	10	1	2	1	2	2	2	1
0	17	1	NA	4	2	5	1	2
NA	1	2	1	2	2	2	2	1
1	25	1	1	1	2	2	1	2
0	14	1	4	2	2	3	2	2
1	32	3	3	2	1	1	1	2
1	45	NA	3	3	1	2	1	1
0	3	3	4	3	2	3	1	1
1	5	1	2	1	2	2	1	1
NA	31	3	2	3	2	3	1	2
1	39	1	2	3	2	5	2	2
1	10	3	2	2	2	1	1	1
1	36	1	3	3	2	3	1	2
1	34	1	3	1	1	3	2	2
1	18	1	3	2	1	1	2	2
1	23	1	1	1	2	2	2	1
NA	14	4	2	2	2	5	2	1
1	15	1	1	4	1	2	1	2
0	14	1	5	2	1	3	1	1
1	45	1	1	1	2	5	1	2
1	6	1	1	2	1	2	2	2
1	5	1	4	NA	2	4	1	2
0	21	2	2	3	2	2	2	2
1	22	1	3	2	2	1	1	1
1	36	1	1	4	2	2	2	2
1	47	1	3	4	1	3	1	2
1	33	1	1	4	1	1	2	2
1	11	3	2	2	1	1	2	2
0	11	2	4	3	1	3	1	1
0	34	1	2	2	2	4	2	1
0	50	1	3	3	2	3	1	2
1	28	1	1	1	1	2	2	2
0	37	1	4	3	1	5	2	2
1	26	1	3	2	1	3	1	1
0	24	1	2	1	1	3	2	2
1	14	1	1	1	1	3	2	2
0	5	1	4	2	2	4	2	2
1	5	1	3	1	2	2	1	1
0	5	1	2	4	2	3	1	2
1	10	1	NA	4	2	2	2	2
1	10	1	4	4	2	2	2	2
0	33	1	NA	3	2	NA	1	2
0	39	1	2	4	2	2	2	2
1	11	1	NA	1	1	5	2	1
0	17	1	3	2	2	2	1	1
0	15	1	3	1	2	1	2	1
1	44	NA	NA	3	1	5	2	2
NA	45	1	1	1	1	3	1	2
1	6	1	4	2	1	4	1	1
0	45	1	4	3	2	5	1	2
0	48	1	NA	4	2	2	1	2
0	21	2	5	3	1	5	2	2
NA	21	1	5	3	1	5	2	2
0	36	1	2	4	2	2	2	2
1	23	1	3	2	2	3	1	1
1	41	2	2	3	2	1	1	1
0	34	1	NA	NA	2	2	1	2
0	44	1	NA	3	2	4	2	2
1	18	1	4	3	1	2	1	2
0	3	3	2	2	1	4	2	2
0	48	1	2	2	2	4	2	1
1	39	1	2	2	2	2	2	1
NA	23	2	2	2	2	3	1	1
NA	33	2	2	2	1	2	2	1
1	22	1	2	1	2	2	2	1
0	47	1	3	4	2	3	1	2
1	33	1	3	4	1	5	1	2
0	33	4	NA	NA	2	NA	NA	NA
1	17	1	2	2	1	3	2	2
1	28	1	2	2	2	2	2	1
1	24	1	2	3	2	3	2	2
NA	24	1	3	2	1	2	2	1
NA	37	1	3	2	1	2	1	1
1	6	1	3	3	1	4	2	2
1	5	4	4	3	1	5	1	2
1	5	NA	NA	NA	2	NA	NA	NA
0	5	2	3	3	1	4	2	2
0	5	1	5	3	2	5	1	1
1	49	1	1	4	1	1	2	2
0	36	1	3	3	2	5	1	1
NA	10	1	5	3	1	4	2	2
0	39	1	4	2	1	4	1	1
NA	10	1	4	2	2	5	1	1
NA	44	1	4	4	1	5	1	2
1	50	1	3	4	1	3	1	2
0	25	1	2	2	1	2	2	1
NA	43	1	1	2	2	2	2	1
0	5	3	3	3	2	5	2	2
0	5	2	2	1	2	3	2	1
1	5	1	5	3	2	2	1	1
1	10	1	3	2	1	2	1	1
1	36	1	NA	3	1	4	1	1
0	22	4	NA	2	1	5	1	1
1	36	1	3	2	1	5	1	2
0	18	1	3	3	2	5	2	2
0	7	1	3	1	2	3	1	1
0	10	1	3	4	1	5	1	2
0	36	1	1	4	1	2	2	2
1	22	1	4	2	2	4	1	1
1	37	3	4	1	1	2	2	2
1	44	1	3	3	1	1	1	2
1	44	1	3	4	1	5	2	2
NA	44	1	3	3	1	3	2	NA
1	48	1	3	3	2	2	2	1
0	5	3	1	3	1	1	2	1
0	5	2	3	3	2	3	2	2
0	5	3	NA	1	2	1	2	1
0	31	1	NA	NA	2	4	2	2
1	10	1	2	1	2	3	2	1
NA	21	1	3	1	2	3	1	1
1	18	1	4	2	1	2	1	1
0	7	1	NA	4	2	5	1	2
0	11	2	3	2	1	1	1	1
1	1	1	3	2	1	3	1	1
0	50	1	4	3	2	2	1	2
1	25	1	3	1	2	4	1	2
1	44	3	1	3	2	1	2	1
1	15	1	2	1	2	2	1	1
NA	43	2	2	2	1	2	1	2
1	6	1	4	2	2	4	1	2
0	3	1	2	3	2	3	2	2
0	5	1	4	2	1	3	1	1
0	5	1	4	1	2	3	1	1
1	38	1	3	2	2	3	1	1
1	5	1	3	1	1	4	2	2
1	5	1	5	3	2	2	1	1
1	21	1	3	3	2	2	1	1
0	10	1	3	2	2	2	1	1
0	33	1	3	3	2	5	2	2
0	47	1	3	2	1	4	2	2
0	11	1	2	1	1	2	2	1
0	41	1	1	4	2	2	2	1
1	10	1	3	3	1	3	1	2
1	10	1	2	4	1	2	1	2
NA	15	1	2	1	1	2	1	1
0	14	1	NA	4	2	2	2	2
0	16	1	3	3	1	3	2	2
1	44	3	1	1	2	2	2	1
1	42	1	2	3	1	2	2	2
0	48	1	2	1	2	5	1	2
1	38	1	NA	3	2	2	1	2
1	29	1	3	2	2	4	1	1
0	5	3	NA	3	1	2	2	2
0	22	1	3	2	2	5	2	2
1	39	1	4	3	1	4	1	1
NA	46	1	2	4	2	2	1	2
0	31	4	3	3	2	5	2	2
1	31	1	2	2	1	4	1	1
1	50	1	2	2	1	3	2	1
0	18	1	3	3	1	2	1	2
1	28	1	3	2	1	4	2	2
0	17	1	3	3	1	3	1	1
1	24	1	2	2	2	3	1	1
1	1	1	2	4	2	2	2	2
0	15	1	3	1	1	3	2	2
0	44	1	3	1	2	3	1	1
0	43	2	2	1	2	3	2	1
1	5	4	4	2	1	5	2	2
1	29	1	2	4	2	2	2	2
0	29	4	3	2	2	3	1	1
1	5	1	4	3	2	5	1	1
1	23	1	3	2	1	2	1	1
NA	21	3	2	1	2	1	1	1
0	36	1	3	2	2	2	1	1
NA	39	1	NA	3	1	2	2	2
1	46	1	3	2	1	3	1	1
0	47	2	1	4	2	1	2	2
0	34	1	4	2	2	4	1	1
1	34	1	4	3	1	2	1	2
1	36	1	3	1	2	2	2	1
1	37	1	1	3	2	1	1	1
1	50	1	2	3	1	3	2	2
0	48	1	3	2	2	3	1	1
0	5	4	2	2	2	2	1	1
1	38	1	4	3	1	5	1	2
0	18	4	3	3	2	3	1	2
1	23	1	2	1	1	4	2	2
1	23	1	NA	4	1	3	2	2
0	31	1	3	3	2	3	2	1
1	33	1	2	1	1	1	2	2
1	10	1	4	3	1	4	2	2
1	18	1	2	2	2	5	2	1
1	26	1	2	2	2	4	2	1
1	44	1	3	3	2	3	1	2
1	3	1	2	2	1	2	1	1
1	13	1	2	1	1	2	2	1
0	5	1	3	2	2	5	2	2
1	5	1	NA	4	2	2	2	1
0	5	1	NA	4	1	3	2	2
1	20	1	3	1	2	2	1	1
1	36	1	2	3	2	3	2	2
NA	23	1	NA	3	1	2	2	2
1	39	1	3	2	1	4	1	1
1	39	1	3	3	2	4	1	2
0	47	1	2	2	2	3	2	1
1	41	4	4	3	2	4	1	2
NA	33	1	3	2	1	2	2	1
0	10	3	1	1	2	3	2	1
1	31	1	1	4	2	1	1	2
0	24	1	1	4	1	1	2	2
0	14	1	4	2	2	4	2	2
1	15	1	4	2	1	2	1	1
1	43	1	3	3	1	3	1	2
1	32	1	3	1	1	4	2	2
0	3	1	4	4	1	4	1	2
NA	38	1	3	3	2	3	1	2
1	5	1	NA	4	1	4	1	2
NA	5	1	4	3	1	5	1	2
NA	39	1	3	3	2	2	1	1
0	22	1	2	4	2	1	2	2
0	39	1	4	3	1	4	1	1
1	39	1	NA	4	1	5	1	2
1	11	4	2	2	2	4	1	1
1	1	2	1	3	2	1	2	2
0	4	1	2	2	1	3	1	1
NA	43	1	3	2	1	3	2	1
0	43	1	3	2	2	3	1	1
1	3	1	3	1	2	5	2	2
1	31	1	3	2	2	2	2	1
1	39	1	1	1	2	2	1	1
1	39	1	4	2	1	5	1	1
1	39	1	3	3	2	2	1	1
1	47	1	2	3	2	2	2	2
NA	34	1	2	2	1	1	1	2
NA	7	1	2	3	2	1	2	2
1	10	1	2	3	2	4	2	2
1	44	3	1	1	2	5	2	2
0	18	1	2	2	2	1	1	1
1	17	1	4	2	1	4	1	1
0	6	3	3	3	2	3	2	2
1	32	1	NA	3	1	4	1	2
0	5	3	2	1	2	3	2	1
1	5	1	3	3	2	4	1	1
0	8	2	2	1	2	2	1	1
0	33	1	NA	4	2	1	2	2
1	43	1	4	2	2	4	1	2
1	36	1	5	3	1	5	1	1
1	30	1	3	2	1	3	1	1
1	33	1	3	2	2	5	2	1
0	47	1	4	1	1	5	2	2
0	36	1	3	2	1	2	1	1
1	31	1	4	2	1	3	2	2
0	15	1	4	3	1	4	1	2
0	44	3	3	1	2	3	2	1
1	1	1	NA	4	2	2	1	2
0	4	1	2	3	1	2	1	2
0	14	1	2	3	1	2	2	2
0	14	1	4	3	1	4	1	1
0	6	1	1	1	1	3	2	2
0	3	4	3	3	1	3	1	2
NA	23	1	NA	4	2	3	1	2
1	23	1	NA	4	2	2	2	2
0	8	1	NA	3	1	2	1	2
0	43	1	3	4	1	2	2	2
1	18	1	1	2	2	1	2	1
0	22	1	4	2	2	4	1	1
1	39	1	2	2	1	2	1	1
0	39	1	3	1	1	3	1	1
0	31	1	1	4	2	1	2	2
1	31	1	3	1	2	4	1	1
0	15	1	3	2	2	3	2	2
1	44	1	3	1	2	2	1	1
1	14	1	4	2	1	4	2	2
1	17	1	2	4	2	3	2	2
1	26	1	2	1	2	3	1	2
1	26	1	2	4	1	1	1	2
NA	44	1	3	3	2	2	1	2
1	3	1	4	3	1	3	1	1
0	38	1	NA	1	2	2	2	2
0	5	1	2	3	2	3	2	2
0	36	1	3	3	1	2	1	1
0	33	1	1	1	2	3	2	2
0	36	1	5	2	2	5	2	2
0	21	1	2	2	2	3	2	2
0	33	2	NA	2	2	3	2	2
1	23	1	3	2	1	2	1	1
1	11	1	3	3	1	5	2	2
NA	32	1	3	2	2	4	1	2
1	3	1	1	1	1	3	2	2
1	5	1	3	1	2	5	1	2
1	5	3	3	2	2	1	1	1
0	39	1	4	2	2	3	1	1
1	49	1	1	4	2	4	1	2
1	10	2	4	3	1	4	1	1
0	39	4	3	1	2	3	2	2
NA	18	1	3	2	2	1	NA	1
1	10	1	NA	1	2	2	2	1
1	34	1	3	2	1	2	1	1
0	7	1	3	4	1	2	1	2
1	36	1	3	3	2	2	2	2
1	1	1	NA	3	2	5	1	2
1	26	1	2	1	2	1	1	1
NA	5	1	2	2	2	2	2	1
0	39	2	3	2	2	3	2	2
0	34	1	3	1	2	3	1	1
1	18	1	3	3	2	2	1	1
0	39	1	3	4	2	1	1	2
1	46	1	4	3	2	3	1	2
0	36	1	4	3	2	2	1	2
1	10	1	3	3	1	3	1	1
1	15	1	3	4	1	2	1	2
1	4	1	1	3	2	3	2	2
1	43	1	3	3	2	2	1	2
1	38	1	3	4	1	4	2	2
1	5	1	4	2	2	2	2	1
1	10	3	1	1	1	3	2	2
NA	39	1	3	3	1	3	2	2
0	43	1	1	4	1	1	1	2
1	23	1	3	2	2	4	1	2
1	39	1	3	2	1	2	2	1
1	47	1	NA	4	2	2	1	2
1	41	1	3	2	1	5	1	2
1	15	3	NA	4	1	2	2	2
1	15	1	4	2	1	2	1	1
1	44	3	2	1	2	2	2	2
0	1	1	2	2	2	3	1	1
1	17	3	1	2	2	2	2	1
0	28	1	2	2	1	2	2	2
1	44	1	2	3	2	1	2	1
1	24	1	NA	1	2	3	1	1
0	44	3	2	3	1	4	2	2
1	14	1	3	1	1	2	2	2
1	32	1	2	1	2	5	2	2
NA	6	1	3	2	1	2	2	2
0	5	3	1	3	2	1	2	1
1	48	1	2	1	2	3	2	2
0	5	1	4	2	1	3	1	1
0	10	2	3	2	2	3	2	1
0	21	1	3	3	2	4	1	2
0	43	1	3	3	1	3	2	2
0	22	1	3	2	2	5	2	1
0	33	1	2	4	2	3	2	2
1	33	1	3	2	1	2	2	2
0	39	4	1	1	2	3	2	1
1	47	1	NA	1	2	5	1	2
0	34	1	3	2	2	2	1	2
1	10	1	3	1	1	5	1	2
NA	24	1	NA	3	2	2	1	2
1	25	1	NA	4	1	4	1	2
0	44	3	1	1	2	3	2	1
0	31	2	1	3	2	1	2	2
1	8	1	3	3	1	2	1	2
0	10	2	4	3	2	5	2	2
1	36	1	2	4	2	1	2	2
1	43	1	2	3	2	1	1	2
0	22	1	3	2	1	3	1	1
0	22	1	3	2	1	4	1	1
1	7	1	3	3	1	3	2	2
0	15	1	4	2	2	5	1	2
1	15	1	4	3	2	2	1	2
0	44	1	3	3	1	2	2	2
0	26	1	3	3	2	2	1	2
0	44	1	4	3	1	5	1	2
1	6	1	4	3	1	4	2	1
1	6	1	2	4	1	5	2	2
0	5	3	3	2	1	4	2	2
0	38	1	3	2	2	3	1	1
1	5	1	5	3	1	5	2	2
1	5	1	3	3	1	3	1	2
1	10	1	3	1	1	3	1	1
0	10	1	2	4	2	3	2	2
1	39	1	3	NA	2	4	2	2
1	47	1	3	1	1	4	1	2
0	11	3	3	1	1	2	2	2
0	34	1	3	4	1	5	2	2
0	19	4	4	2	2	5	1	1
1	14	1	2	4	2	2	1	2
0	1	2	3	3	2	3	2	2
NA	24	1	4	3	2	3	1	1
1	25	4	2	3	1	3	1	1
1	43	1	3	2	1	2	1	1
NA	3	1	NA	1	2	1	2	2
NA	5	1	2	1	1	3	2	2
0	31	1	3	4	1	3	2	2
NA	10	2	1	4	2	1	2	1
1	33	1	3	4	1	3	1	2
0	39	3	4	2	2	3	1	1
1	47	1	3	2	2	2	1	1
1	47	2	NA	1	2	3	2	1
1	41	2	4	2	1	3	1	1
1	23	1	3	3	1	3	1	2
1	26	1	3	3	1	2	1	2
1	44	1	NA	4	2	NA	NA	NA
0	13	1	4	3	2	4	1	1
1	6	1	3	3	2	5	1	2
1	38	1	2	2	1	3	1	2
1	5	1	2	2	2	3	1	1
0	31	1	4	3	1	5	1	1
1	21	1	4	3	1	2	2	2
1	34	1	3	2	1	3	1	1
0	43	1	3	3	1	2	1	1
0	18	1	1	3	2	1	1	2
0	33	1	4	3	1	3	2	2
0	33	1	3	2	2	5	2	1
1	41	1	4	2	1	4	1	1
1	34	1	NA	3	1	2	2	2
1	14	1	3	3	1	5	1	2
0	37	1	1	1	1	3	2	2
0	14	2	4	4	2	5	2	2
0	17	1	2	4	1	1	1	2
0	14	1	1	3	2	2	2	2
0	3	1	1	1	1	3	2	2
0	48	1	4	3	1	2	2	2
1	49	1	2	3	2	2	1	1
0	34	4	2	2	1	3	2	1
1	39	1	2	1	2	3	2	2
NA	47	1	2	1	1	3	2	2
1	46	4	1	3	2	2	1	1
0	34	1	2	4	2	3	1	2
0	24	1	3	2	2	2	1	1
0	26	1	1	1	2	2	2	2
0	44	1	2	1	2	5	2	2
NA	37	1	1	3	2	1	2	2
0	42	1	2	4	2	3	2	2
0	17	2	1	3	2	3	1	2
1	44	1	3	3	2	2	1	2
1	43	1	4	3	1	4	1	1
1	13	1	3	3	1	5	1	1
0	5	2	NA	3	2	NA	2	2
1	5	1	4	3	2	3	1	2
1	5	1	3	2	2	3	1	1
0	5	1	2	1	1	5	2	2
0	5	1	2	4	2	3	2	2
0	31	1	3	1	2	3	1	2
0	39	3	NA	4	2	2	2	1
NA	49	1	NA	4	1	2	2	2
1	33	1	4	2	1	5	1	2
0	18	1	2	4	2	1	2	2
0	18	1	2	1	1	2	2	2
1	47	1	3	2	1	2	2	2
0	47	2	2	1	2	1	2	1
1	24	1	1	4	1	2	2	2
1	42	3	3	1	1	3	2	2
1	17	1	3	3	1	2	1	2
1	17	1	2	2	2	3	2	1
1	14	1	2	4	1	2	1	2
0	44	1	4	3	2	5	1	1
1	43	1	4	2	1	2	1	1
0	32	1	3	3	1	5	1	2
1	6	1	3	1	1	3	2	2
1	5	3	3	1	2	1	2	2
1	5	1	4	3	2	4	2	2
NA	5	1	2	4	2	5	2	2
0	39	1	2	3	2	5	2	2
1	33	1	2	2	1	4	2	2
0	39	1	3	2	2	2	1	1
0	10	4	1	2	2	3	2	2
1	31	1	4	2	2	4	1	2
1	10	1	3	4	1	4	1	2
1	15	1	4	1	1	5	1	2
1	15	1	2	2	2	2	1	1
NA	14	1	3	3	2	3	1	2
0	26	1	2	3	1	3	1	1
1	14	1	3	2	2	5	1	2
NA	44	1	3	2	1	2	1	1
0	44	1	3	2	1	2	2	2
1	5	1	2	1	2	4	1	2
1	20	1	NA	NA	1	5	2	2
NA	34	1	1	4	2	2	1	2
1	18	1	2	4	2	1	2	2
1	47	1	3	2	1	5	1	1
0	7	1	1	1	1	2	2	2
0	10	1	2	4	1	4	1	2
1	33	1	2	4	2	4	2	2
0	36	1	3	2	2	3	1	1
1	15	1	4	4	2	3	1	2
1	44	1	3	2	2	4	1	1
0	50	1	1	4	2	3	2	2
0	37	1	2	2	2	3	1	1
0	14	1	3	2	2	3	1	1
1	44	3	1	1	2	2	2	1
1	15	1	2	3	2	3	1	2
0	43	1	NA	3	2	1	1	2
1	6	1	2	2	1	4	2	2
1	10	1	4	2	1	5	1	1
0	30	1	1	4	1	5	2	2
0	33	1	NA	4	2	5	1	2
0	47	1	2	4	2	4	2	2
0	34	4	3	3	1	3	1	2
1	11	4	2	2	2	2	1	1
0	22	1	4	3	2	5	1	2
1	10	1	3	1	1	5	1	2
NA	24	1	NA	1	1	2	2	2
0	24	1	3	3	2	5	2	2
NA	45	1	1	1	2	2	2	2
0	3	1	4	3	2	4	1	1
1	38	1	2	3	2	3	1	1
1	5	3	2	2	1	1	2	1
NA	5	3	2	1	1	2	2	1
NA	36	1	3	3	1	3	1	2
0	10	2	2	2	2	3	2	1
0	23	1	4	3	1	4	2	2
NA	47	1	2	2	2	1	2	1
1	39	1	3	3	2	3	1	2
0	47	2	3	2	1	3	1	2
0	33	1	NA	4	2	5	1	2
1	18	1	2	3	2	2	1	2
NA	44	1	1	3	2	2	2	2
1	14	1	2	2	2	3	1	2
0	35	4	4	3	2	2	1	2
0	13	3	2	2	2	1	1	1
1	6	1	2	2	1	3	1	1
1	6	3	2	2	2	1	1	1
0	5	2	5	3	1	5	1	2
0	39	2	3	4	2	3	2	2
0	36	1	2	4	1	3	1	2
0	36	1	3	2	2	4	1	1
1	39	1	3	3	1	2	1	2
NA	22	1	NA	3	2	5	2	1
1	18	4	NA	1	1	2	2	2
1	47	1	3	3	2	3	1	2
1	11	1	3	1	1	3	1	2
0	22	1	4	3	2	5	1	2
1	15	1	3	3	1	2	1	1
0	44	3	2	2	1	1	1	1
NA	17	1	NA	3	2	NA	2	2
1	44	3	3	1	1	2	2	1
1	3	1	3	3	2	4	2	2
1	5	1	1	2	2	2	2	1
0	5	1	4	3	2	5	1	2
0	39	2	3	2	2	3	2	2
1	49	1	2	3	2	3	2	2
0	43	1	3	2	1	4	1	1
1	11	1	2	4	2	3	2	2
1	33	2	2	4	2	2	1	2
0	47	2	2	2	2	4	2	1
1	31	1	3	3	1	5	1	2
0	31	1	5	3	1	4	1	2
1	33	2	NA	2	1	1	2	1
0	36	1	3	3	2	1	1	2
1	37	1	2	3	1	3	2	2
0	43	1	NA	2	2	4	1	1
0	50	1	2	1	1	3	1	2
0	17	1	3	1	2	3	2	2
NA	4	2	3	1	2	3	2	1
1	3	1	2	4	2	2	1	2
0	48	4	2	2	2	4	2	1
0	5	3	3	3	2	2	1	2
0	39	1	3	3	2	3	1	2
0	10	1	2	2	2	4	2	2
0	22	1	3	2	1	2	1	1
0	47	1	3	3	1	2	1	1
0	39	1	3	3	1	4	2	2
NA	23	1	2	3	1	2	2	1
0	33	1	4	3	1	3	2	2
1	11	1	3	3	1	3	1	2
0	31	1	1	3	2	1	1	2
1	7	1	2	2	1	5	2	2
1	33	1	3	2	2	2	1	1
0	36	1	1	4	2	1	2	2
0	15	4	3	2	2	5	2	2
1	15	1	2	4	1	3	1	2
0	19	2	1	2	1	3	2	2
0	37	1	2	2	1	3	2	2
NA	3	1	2	3	2	4	1	2
1	3	3	1	1	2	1	1	1
0	5	1	2	2	1	3	2	2
1	5	3	4	2	1	3	2	1
0	39	4	3	1	1	3	2	2
0	47	1	1	1	2	3	2	1
0	39	1	3	3	2	3	2	2
1	11	1	2	2	1	2	1	1
NA	39	1	2	2	2	1	2	2
1	7	1	4	3	2	2	2	1
0	15	1	3	3	1	2	1	2
1	50	1	3	2	1	2	1	1
1	50	4	3	1	1	3	1	1
1	26	1	NA	NA	2	2	1	2
0	26	1	1	2	1	2	2	1
0	25	2	2	4	1	1	1	2
0	43	1	5	1	1	3	2	1
1	43	1	3	3	1	3	1	1
0	24	1	2	2	1	2	1	2
1	17	1	4	2	2	2	1	1
1	4	1	1	4	1	2	1	2
1	50	1	4	3	2	2	1	2
1	45	1	2	3	1	2	1	2
1	32	1	1	4	2	2	1	2
0	5	1	NA	4	2	2	1	2
0	39	1	3	4	2	2	2	2
1	10	1	1	2	2	2	2	1
1	23	1	2	1	2	3	2	2
1	46	1	3	4	1	5	2	2
1	47	2	1	2	2	2	2	2
NA	1	2	NA	NA	1	2	NA	2
0	44	1	2	1	2	4	2	2
0	16	1	1	4	2	2	2	2
1	25	1	1	3	2	2	2	2
NA	35	1	2	2	1	2	2	1
1	4	1	3	2	2	2	1	1
1	37	1	NA	3	1	3	1	2
1	3	1	3	4	1	3	2	2
1	5	1	5	3	2	5	1	2
0	5	1	2	4	2	1	2	2
0	5	3	3	2	2	3	1	1
0	20	1	1	1	1	4	2	2
0	39	2	NA	NA	1	NA	1	2
1	36	1	5	3	1	3	1	2
NA	22	1	2	3	1	2	2	2
NA	22	1	1	2	2	2	2	1
0	33	1	3	2	1	4	2	2
0	39	1	3	3	1	2	1	2
1	47	1	NA	3	2	3	1	2
1	34	2	2	2	2	2	2	1
NA	33	1	2	4	2	3	2	2
0	10	2	2	2	1	5	2	1
0	14	1	1	3	1	2	2	1
1	19	1	4	2	1	3	1	1
0	50	1	3	3	2	5	2	2
1	26	1	3	2	1	2	1	2
1	37	1	2	4	1	3	1	2
1	42	1	NA	2	1	2	1	1
1	48	1	2	2	1	2	1	1
1	5	3	2	2	2	1	1	1
NA	34	1	2	1	2	4	2	2
1	22	3	1	3	2	1	2	1
0	47	1	NA	3	2	2	2	2
0	39	1	4	3	2	4	1	2
NA	33	1	3	3	1	5	2	2
0	39	1	1	2	2	2	2	1
NA	34	2	3	2	1	2	2	2
1	1	1	1	3	1	1	1	2
0	14	2	2	2	1	3	1	2
1	44	1	2	4	2	4	2	2
1	6	1	3	4	2	2	2	2
1	32	1	4	3	1	5	1	1
0	42	1	1	1	1	2	2	2
1	3	1	NA	4	2	5	1	2
1	5	1	3	2	1	2	2	2
0	5	1	2	4	2	3	1	2
1	31	1	4	3	1	4	1	2
0	39	1	4	3	1	5	1	1
1	21	1	NA	4	2	1	2	2
0	10	3	2	2	2	5	2	2
0	21	1	NA	4	2	3	1	2
1	36	1	4	2	1	3	1	1
0	39	2	NA	3	2	3	1	1
0	33	1	4	1	2	4	2	1
1	36	1	3	2	2	4	1	1
0	41	1	3	3	1	5	1	2
0	7	1	NA	3	1	4	2	2
1	33	1	NA	3	1	2	1	2
0	1	1	4	3	2	2	1	2
NA	19	2	NA	4	2	1	2	2
1	26	1	3	3	1	3	1	2
0	44	3	1	1	2	1	2	1
1	14	1	NA	1	2	1	2	2
0	50	1	2	3	1	3	2	2
NA	44	3	2	2	2	2	2	1
1	5	1	3	3	1	3	1	2
0	5	3	NA	2	2	1	1	1
0	5	2	1	4	1	4	2	2
1	23	1	NA	1	2	2	2	2
1	47	1	2	2	1	2	2	1
0	39	1	NA	4	2	2	2	2
0	47	NA	NA	4	2	NA	1	2
0	34	1	3	3	2	5	2	2
1	33	1	4	2	1	3	1	1
0	33	1	3	1	2	4	2	2
1	11	1	4	2	2	4	1	1
0	46	1	3	3	2	4	1	1
0	10	1	2	2	2	3	1	1
NA	36	1	1	3	2	3	2	2
1	37	1	2	3	1	2	2	2
1	43	1	2	2	1	3	2	2
1	25	1	NA	2	2	4	1	1
1	35	1	3	2	1	4	1	1
1	44	1	3	4	2	3	2	2
0	14	1	4	3	2	4	1	2
1	44	1	5	2	1	5	1	1
1	44	1	3	3	2	3	1	2
1	50	1	2	2	2	1	1	1
NA	5	1	NA	2	2	5	1	1
NA	5	3	1	1	2	1	2	1
0	5	1	3	2	2	3	2	1
0	5	1	3	2	1	2	1	1
1	20	1	NA	4	2	3	1	2
0	39	1	2	2	2	3	2	2
0	39	1	4	4	1	4	1	2
1	36	1	NA	3	1	2	2	2
1	39	1	3	3	2	3	2	2
0	36	4	2	4	2	5	2	2
1	11	1	4	2	2	3	1	1
1	10	1	2	2	1	2	2	2
0	34	4	2	2	2	3	1	1
1	37	1	2	2	1	3	2	1
1	26	1	3	2	2	2	1	2
1	35	1	1	1	1	2	2	2
1	14	1	5	2	1	4	1	1
1	17	1	NA	4	2	3	1	2
1	3	1	2	1	2	3	1	1
1	48	3	1	1	1	1	2	1
NA	5	4	1	2	2	2	2	2
1	33	1	4	3	1	4	2	2
0	22	1	4	3	2	3	1	1
0	34	1	NA	3	1	2	2	2
NA	10	1	4	3	2	4	1	2
NA	34	1	4	2	2	2	1	1
1	14	1	NA	3	1	5	1	1
1	24	1	3	3	1	3	2	2
1	1	1	3	2	1	3	1	1
1	37	3	2	3	2	4	2	1
NA	14	1	2	2	2	3	2	1
0	37	1	3	4	2	5	2	2
0	6	1	3	1	1	5	2	2
